          total   stress  (Ry/bohr**3)                   (kbar)     P=      -16.63
          total   stress  (Ry/bohr**3)                   (kbar)     P=        3.42
          total   stress  (Ry/bohr**3)                   (kbar)     P=       -2.04
          total   stress  (Ry/bohr**3)                   (kbar)     P=       -2.16
          total   stress  (Ry/bohr**3)                   (kbar)     P=       -0.45
