0.1	2	-306.89627012
0.1	3	-306.89626233
0.1	4	-306.89626381
0.1	5	-306.89626177
0.1	6	-306.89626572
0.1	7	-306.89626446
0.1	8	-306.89626561
0.1	9	-306.89626635
0.1	10	-306.89626489
0.1	11	-306.89626579
0.1	12	-306.89626525
0.05	2	-306.87687434
0.05	3	-306.87690322
0.05	4	-306.87689699
0.05	5	-306.87689724
0.05	6	-306.87689728
0.05	7	-306.87689686
0.05	8	-306.87689698
0.05	9	-306.87689721
0.05	10	-306.87689715
0.05	11	-306.87689714
0.05	12	-306.87689716
0.02	2	-306.87363331
0.02	3	-306.87324867
0.02	4	-306.87323373
0.02	5	-306.87322710
0.02	6	-306.87322607
0.02	7	-306.87322585
0.02	8	-306.87322346
0.02	9	-306.87322397
0.02	10	-306.87322587
0.02	11	-306.87322388
0.02	12	-306.87322397
0.01	2	-306.87394484
0.01	3	-306.87299798
0.01	4	-306.87292579
0.01	5	-306.87290186
0.01	6	-306.87289413
0.01	7	-306.87289314
0.01	8	-306.87289327
0.01	9	-306.87289367
0.01	10	-306.87289375
0.01	11	-306.87289375
0.01	12	-306.87289383
0.005	2	-306.87394747
0.005	3	-306.87302938
0.005	4	-306.87292832
0.005	5	-306.87282538
0.005	6	-306.87282862
0.005	7	-306.87284340
0.005	8	-306.87284208
0.005	9	-306.87284108
0.005	10	-306.87284194
0.005	11	-306.87284233
0.005	12	-306.87284234
0.002	2	-306.87403293
0.002	3	-306.87295832
0.002	4	-306.87298139
0.002	5	-306.87279382
0.002	6	-306.87279145
0.002	7	-306.87281893
0.002	8	-306.87282886
0.002	9	-306.87284049
0.002	10	-306.87283482
0.002	11	-306.87282847
0.002	12	-306.87282958
0.001	2	-306.87401894
0.001	3	-306.87292746
0.001	4	-306.87299038
0.001	5	-306.87278756
0.001	6	-306.87279251
0.001	7	-306.87281644
0.001	8	-306.87282569
0.001	9	-306.87284291
0.001	10	-306.87283643
0.001	11	-306.87282726
0.001	12	-306.87282997
