	ecutwfc=50
     unit-cell volume          =     337.5249 (a.u.)^3
     new unit-cell volume =    327.86968 a.u.^3 (    48.58527 Ang^3 )
     new unit-cell volume =    314.32406 a.u.^3 (    46.57802 Ang^3 )
     new unit-cell volume =    298.09796 a.u.^3 (    44.17356 Ang^3 )
     new unit-cell volume =    300.10930 a.u.^3 (    44.47161 Ang^3 )
     new unit-cell volume =    300.83899 a.u.^3 (    44.57974 Ang^3 )
     new unit-cell volume =    301.07825 a.u.^3 (    44.61519 Ang^3 )
     new unit-cell volume =    300.79302 a.u.^3 (    44.57293 Ang^3 )
     new unit-cell volume =    300.57850 a.u.^3 (    44.54114 Ang^3 )
     new unit-cell volume =    300.57850 a.u.^3 (    44.54114 Ang^3 )
     unit-cell volume          =     300.5785 (a.u.)^3
	ecutwfc=60
     unit-cell volume          =     337.5249 (a.u.)^3
     new unit-cell volume =    327.14811 a.u.^3 (    48.47835 Ang^3 )
     new unit-cell volume =    312.62326 a.u.^3 (    46.32599 Ang^3 )
     new unit-cell volume =    299.19951 a.u.^3 (    44.33679 Ang^3 )
     new unit-cell volume =    300.44885 a.u.^3 (    44.52193 Ang^3 )
     new unit-cell volume =    301.21756 a.u.^3 (    44.63584 Ang^3 )
     new unit-cell volume =    301.44400 a.u.^3 (    44.66939 Ang^3 )
     new unit-cell volume =    301.12122 a.u.^3 (    44.62156 Ang^3 )
     new unit-cell volume =    300.93253 a.u.^3 (    44.59360 Ang^3 )
     new unit-cell volume =    300.93253 a.u.^3 (    44.59360 Ang^3 )
     unit-cell volume          =     300.9325 (a.u.)^3
	ecutwfc=70
     unit-cell volume          =     337.5249 (a.u.)^3
     new unit-cell volume =    327.69187 a.u.^3 (    48.55893 Ang^3 )
     new unit-cell volume =    313.99452 a.u.^3 (    46.52919 Ang^3 )
     new unit-cell volume =    301.32694 a.u.^3 (    44.65205 Ang^3 )
     new unit-cell volume =    302.44076 a.u.^3 (    44.81710 Ang^3 )
     new unit-cell volume =    303.11895 a.u.^3 (    44.91759 Ang^3 )
     new unit-cell volume =    303.36725 a.u.^3 (    44.95439 Ang^3 )
     new unit-cell volume =    303.14138 a.u.^3 (    44.92092 Ang^3 )
     new unit-cell volume =    302.97899 a.u.^3 (    44.89685 Ang^3 )
     new unit-cell volume =    302.97899 a.u.^3 (    44.89685 Ang^3 )
     unit-cell volume          =     302.9790 (a.u.)^3
	ecutwfc=80
     unit-cell volume          =     337.5249 (a.u.)^3
     new unit-cell volume =    328.14983 a.u.^3 (    48.62679 Ang^3 )
     new unit-cell volume =    315.03965 a.u.^3 (    46.68406 Ang^3 )
     new unit-cell volume =    301.83911 a.u.^3 (    44.72794 Ang^3 )
     new unit-cell volume =    302.96447 a.u.^3 (    44.89470 Ang^3 )
     new unit-cell volume =    303.66423 a.u.^3 (    44.99840 Ang^3 )
     new unit-cell volume =    303.93097 a.u.^3 (    45.03792 Ang^3 )
     new unit-cell volume =    303.72100 a.u.^3 (    45.00681 Ang^3 )
     new unit-cell volume =    303.53295 a.u.^3 (    44.97894 Ang^3 )
     new unit-cell volume =    303.53295 a.u.^3 (    44.97894 Ang^3 )
     unit-cell volume          =     303.5330 (a.u.)^3
	ecutwfc=90
     unit-cell volume          =     337.5249 (a.u.)^3
     new unit-cell volume =    328.16082 a.u.^3 (    48.62842 Ang^3 )
     new unit-cell volume =    315.06298 a.u.^3 (    46.68752 Ang^3 )
     new unit-cell volume =    301.65600 a.u.^3 (    44.70081 Ang^3 )
     new unit-cell volume =    302.89084 a.u.^3 (    44.88379 Ang^3 )
     new unit-cell volume =    303.66417 a.u.^3 (    44.99839 Ang^3 )
     new unit-cell volume =    303.92721 a.u.^3 (    45.03737 Ang^3 )
     new unit-cell volume =    303.63024 a.u.^3 (    44.99336 Ang^3 )
     new unit-cell volume =    303.44796 a.u.^3 (    44.96635 Ang^3 )
     new unit-cell volume =    303.44796 a.u.^3 (    44.96635 Ang^3 )
     unit-cell volume          =     303.4480 (a.u.)^3
	ecutwfc=100
     unit-cell volume          =     337.5249 (a.u.)^3
     new unit-cell volume =    328.09360 a.u.^3 (    48.61845 Ang^3 )
     new unit-cell volume =    314.92583 a.u.^3 (    46.66719 Ang^3 )
     new unit-cell volume =    301.65583 a.u.^3 (    44.70078 Ang^3 )
     new unit-cell volume =    302.90632 a.u.^3 (    44.88609 Ang^3 )
     new unit-cell volume =    303.68224 a.u.^3 (    45.00106 Ang^3 )
     new unit-cell volume =    303.96016 a.u.^3 (    45.04225 Ang^3 )
     new unit-cell volume =    303.68859 a.u.^3 (    45.00201 Ang^3 )
     new unit-cell volume =    303.46747 a.u.^3 (    44.96924 Ang^3 )
     new unit-cell volume =    303.46747 a.u.^3 (    44.96924 Ang^3 )
     unit-cell volume          =     303.4675 (a.u.)^3
	ecutwfc=110
     unit-cell volume          =     337.5249 (a.u.)^3
     new unit-cell volume =    328.16869 a.u.^3 (    48.62958 Ang^3 )
     new unit-cell volume =    315.07745 a.u.^3 (    46.68966 Ang^3 )
     new unit-cell volume =    301.88634 a.u.^3 (    44.73494 Ang^3 )
     new unit-cell volume =    303.02749 a.u.^3 (    44.90404 Ang^3 )
     new unit-cell volume =    303.74455 a.u.^3 (    45.01030 Ang^3 )
     new unit-cell volume =    304.01449 a.u.^3 (    45.05030 Ang^3 )
     new unit-cell volume =    303.79153 a.u.^3 (    45.01726 Ang^3 )
     new unit-cell volume =    303.58888 a.u.^3 (    44.98723 Ang^3 )
     new unit-cell volume =    303.58888 a.u.^3 (    44.98723 Ang^3 )
     unit-cell volume          =     303.5889 (a.u.)^3
	ecutwfc=120
     unit-cell volume          =     337.5249 (a.u.)^3
     new unit-cell volume =    328.21131 a.u.^3 (    48.63590 Ang^3 )
     new unit-cell volume =    315.18164 a.u.^3 (    46.70510 Ang^3 )
     new unit-cell volume =    301.94617 a.u.^3 (    44.74381 Ang^3 )
     new unit-cell volume =    303.09618 a.u.^3 (    44.91422 Ang^3 )
     new unit-cell volume =    303.81756 a.u.^3 (    45.02112 Ang^3 )
     new unit-cell volume =    304.09577 a.u.^3 (    45.06234 Ang^3 )
     new unit-cell volume =    303.85329 a.u.^3 (    45.02641 Ang^3 )
     new unit-cell volume =    303.67533 a.u.^3 (    45.00004 Ang^3 )
     new unit-cell volume =    303.67533 a.u.^3 (    45.00004 Ang^3 )
     unit-cell volume          =     303.6753 (a.u.)^3
